p_index_int,"acc_tag","acc_txt","replaceText","print_index","Print_index_a0000"
136,"_1793_","1793","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1793_','a00136') WHERE 1; ","136","a00136"
137,"_1970_","1970","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1970_','a00137') WHERE 1; ","137","a00137"
138,"_2127_","2127","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2127_','a00138') WHERE 1; ","138","a00138"
139,"_2201_","2201","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2201_','a00139') WHERE 1; ","139","a00139"
140,"_2085_","2085","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2085_','a00140') WHERE 1; ","140","a00140"
141,"_2017_","2017","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2017_','a00141') WHERE 1; ","141","a00141"
142,"_2018_","2018","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2018_','a00142') WHERE 1; ","142","a00142"
143,"_2151_","2151","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2151_','a00143') WHERE 1; ","143","a00143"
144,"_2063_","2063","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2063_','a00144') WHERE 1; ","144","a00144"
145,"_2141_","2141","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2141_','a00145') WHERE 1; ","145","a00145"
146,"_1918_","1918","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1918_','a00146') WHERE 1; ","146","a00146"
147,"_1919_","1919","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1919_','a00147') WHERE 1; ","147","a00147"
148,"_1864_","1864","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1864_','a00148') WHERE 1; ","148","a00148"
149,"_2184_","2184","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2184_','a00149') WHERE 1; ","149","a00149"
150,"_1829_","1829","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1829_','a00150') WHERE 1; ","150","a00150"
151,"_2190_","2190","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2190_','a00151') WHERE 1; ","151","a00151"
152,"_1993_","1993","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1993_','a00152') WHERE 1; ","152","a00152"
153,"_1780_","1780","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1780_','a00153') WHERE 1; ","153","a00153"
154,"_2088_","2088","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2088_','a00154') WHERE 1; ","154","a00154"
155,"_2048_","2048","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2048_','a00155') WHERE 1; ","155","a00155"
156,"_1870_","1870","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1870_','a00156') WHERE 1; ","156","a00156"
157,"_1971_","1971","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1971_','a00157') WHERE 1; ","157","a00157"
158,"_1910_","1910","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1910_','a00158') WHERE 1; ","158","a00158"
159,"_2205_","2205","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2205_','a00159') WHERE 1; ","159","a00159"
160,"_1798_","1798","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1798_','a00160') WHERE 1; ","160","a00160"
161,"_1821_","1821","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1821_','a00161') WHERE 1; ","161","a00161"
162,"_2051_","2051","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2051_','a00162') WHERE 1; ","162","a00162"
163,"_2193_","2193","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2193_','a00163') WHERE 1; ","163","a00163"
164,"_2179_","2179","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2179_','a00164') WHERE 1; ","164","a00164"
165,"_2097_","2097","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2097_','a00165') WHERE 1; ","165","a00165"
166,"_1908_","1908","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1908_','a00166') WHERE 1; ","166","a00166"
167,"_2072_","2072","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2072_','a00167') WHERE 1; ","167","a00167"
168,"_2177_","2177","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2177_','a00168') WHERE 1; ","168","a00168"
169,"_1822_","1822","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1822_','a00169') WHERE 1; ","169","a00169"
